,x,y,z
3439,-316.67938232421875,-148.4165802001953,32.20183181762695
3440,-317.1311340332031,-149.18222045898438,32.2498893737793
3441,-317.3536071777344,-149.5689697265625,32.27412033081055
3442,-317.7891845703125,-150.3447723388672,32.32279586791992
3443,-318.00445556640625,-150.7373046875,32.34744644165039
3444,-318.42724609375,-151.52789306640625,32.39723205566406
3445,-318.6357421875,-151.9276580810547,32.42243957519531
3446,-319.0453796386719,-152.7314910888672,32.47322082519531
3447,-319.24664306640625,-153.13665771484375,32.49897384643555
3448,-319.6420288085937,-153.9537353515625,32.55134582519531
3449,-319.83612060546875,-154.3651123046875,32.57801818847656
3450,-320.2192687988281,-155.196533203125,32.63300704956055
3451,-320.4071350097656,-155.61448669433594,32.66116714477539
3452,-320.7768859863281,-156.45858764648438,32.718807220458984
3453,-320.9584655761719,-156.88340759277344,32.74821090698242
3454,-321.3164978027344,-157.73953247070312,32.80839157104492
3455,-321.4938659667969,-158.1724853515625,32.839481353759766
3456,-321.8440246582031,-159.04420471191406,32.90357208251953
3457,-322.016357421875,-159.48277282714844,32.936370849609375
3458,-322.35552978515625,-160.36485290527344,33.00277328491211
3459,-322.5230712890625,-160.80950927734375,33.03656768798828
3460,-322.8552551269531,-161.70664978027344,33.10544204711914
3461,-323.0201110839844,-162.15887451171875,33.140464782714844
3462,-323.3474426269531,-163.06832885742188,33.21116256713867
3463,-323.5103759765625,-163.5262451171875,33.24676513671875
3464,-323.83428955078125,-164.44729614257812,33.31827545166016
3465,-323.99493408203125,-164.90965270996094,33.35409164428711
3466,-324.3153991699219,-165.84115600585938,33.42584991455078
3467,-324.4760437011719,-166.31175231933594,33.46181869506836
3468,-324.7936096191406,-167.2496795654297,33.532936096191406
3469,-324.9527893066406,-167.7227783203125,33.56852722167969
3470,-325.2721252441406,-168.67559814453125,33.63970184326172
3471,-325.43212890625,-169.1544647216797,33.67527770996094
3472,-325.7525329589844,-170.1166229248047,33.74658966064453
3473,-325.9140014648437,-170.6026611328125,33.7826042175293
